year,Aeropuerto_Origen,Aeropuerto_Destino,Pasajeros,Pasajeros_Km,Pasajeros2,Pasajeros_Km2,Textbox108,Textbox109,Textbox110,Textbox111
2024,AGP : Málaga,MAD : Madrid-Barajas,357.292,"187.570.416,32",2.129.806,"1.776.159.612,33",8.752.037,"8.386.923.719,85",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,MAH : Menorca,21.774,"20.394.847,72",2.129.806,"1.776.159.612,33",1.064.255,"513.159.808,34",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,MCV : Madrid-Cuatro Vientos,32,"16.360,66",2.129.806,"1.776.159.612,33",299,"159.606,92",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,MJV : Murcia,,,2.129.806,"1.776.159.612,33",4,"1.769,41",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,MLN : Melilla,117.458,"35.538.039,56",2.129.806,"1.776.159.612,33",251.013,"108.059.236,43",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,ODB : Córdoba,14,"3.220,79",2.129.806,"1.776.159.612,33",1.530,"1.336.851,23",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,OVD : Asturias,47.553,"40.674.169,38",2.129.806,"1.776.159.612,33",771.801,"723.097.051,36",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,PMI : Palma de Mallorca,191.743,"154.093.127,07",2.129.806,"1.776.159.612,33",4.501.747,"2.407.324.685,98",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,PNA : Pamplona,61,"49.740,48",2.129.806,"1.776.159.612,33",106.688,"74.363.578,32",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,QSA : Sabadell,1,"879,05",2.129.806,"1.776.159.612,33",33,"20.361,66",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,REU : Reus,4,"3.161,84",2.129.806,"1.776.159.612,33",1.114,"370.946,27",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,RGS : Burgos,,,2.129.806,"1.776.159.612,33",407,"264.585,88",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,RJL : Logroño,9,"6.887,95",2.129.806,"1.776.159.612,33",7.525,"2.574.688,38",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,RMU : Región de Murcia,3,"1.256,88",2.129.806,"1.776.159.612,33",57.873,"58.654.257,51",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,SBO : Son Bonet,,,2.129.806,"1.776.159.612,33",13,"4.932,84",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,SCQ : Santiago,115.966,"100.005.172,74",2.129.806,"1.776.159.612,33",1.408.668,"1.508.335.028,59",48.838.129,"41.757.331.077,90"
